Date,Compound - Active loans ($)
2025-03-06,962993732.274152
2025-03-07,972833930.874021
2025-03-08,979918249.872275
2025-03-09,958858053.72036
2025-03-10,935533169.643774
2025-03-11,921752755.764778
2025-03-12,916243499.222522
2025-03-13,910927250.536282
2025-03-14,912957860.867008
2025-03-15,916546601.142714
2025-03-16,911422284.123916
2025-03-17,909774985.358906
2025-03-18,907895976.318643
2025-03-19,914106552.533888
2025-03-20,910420893.092424
2025-03-21,902987387.719765
2025-03-22,902032474.764092
2025-03-23,901220649.769624
2025-03-24,897576409.975829
2025-03-25,893809979.594431
2025-03-26,893310896.011338
2025-03-27,894802045.340685
2025-03-28,881967062.706276
2025-03-29,877444838.230751
2025-03-30,875597981.553837
2025-03-31,877659655.146554
2025-04-01,898143195.821844
2025-04-02,890050517.946788
2025-04-03,886803833.858622
2025-04-04,863569449.773751
2025-04-05,864643134.197244
2025-04-06,835649609.125771
2025-04-07,813246529.177001
2025-04-08,804742270.012768
2025-04-09,809243637.639636
2025-04-10,804668364.626092
2025-04-11,809909356.576016
2025-04-12,822443920.334252
2025-04-13,821134162.49244
2025-04-14,819702625.052587
2025-04-15,822736295.323636
2025-04-16,818692876.15426
2025-04-17,818137773.563541
2025-04-18,816913488.604842
2025-04-19,819326732.45068
2025-04-20,820274974.06458
2025-04-21,825665790.15245
2025-04-22,841302360.321114
2025-04-23,845594064.997773
2025-04-24,855484410.472584
2025-04-25,864587775.31093
2025-04-26,869492413.863717
2025-04-27,869201577.441853
2025-04-28,875486607.023183
2025-04-29,879981421.952101
2025-04-30,881788668.400815
2025-05-01,889289623.197336
2025-05-02,888076469.116438
2025-05-03,886836756.579015
2025-05-04,883997122.955268
2025-05-05,877845338.809491
2025-05-06,878362244.995475
2025-05-07,879450195.816372
2025-05-08,919941113.143942
2025-05-09,934219615.896053
2025-05-10,961323131.798027
2025-05-11,983787822.299995
2025-05-12,987382349.841853
2025-05-13,1006894697.956471
2025-05-14,1021903836.810512
2025-05-15,1008626157.091163
2025-05-16,1024872317.885236
2025-05-17,1020271969.891864
2025-05-18,1031409333.080683
2025-05-19,1033745579.188495
2025-05-20,1034414891.621015
2025-05-21,1044288874.496697
2025-05-22,1057985045.46876
2025-05-23,1045895424.648017
2025-05-24,1051171886.495836
2025-05-25,1048798540.783302
2025-05-26,1052655676.354609
2025-05-27,1057868668.528583
2025-05-28,1024859165.889335
2025-05-29,1023498058.418854
2025-05-30,1025124376.117856
2025-05-31,1020374794.5226
2025-06-01,1003466478.657195
2025-06-02,1015421328.353554
2025-06-03,1024485829.336066
2025-06-04,1019424167.865411
2025-06-05,1004495908.39669
2025-06-06,1004443495.4182
2025-06-07,1010500638.396424
2025-06-08,1012177987.419363
2025-06-09,1028203352.903967
2025-06-10,1041994715.220771
2025-06-11,1042834596.78213
2025-06-12,1033427299.988064
2025-06-13,1015490483.897171
2025-06-14,1001863112.194155
2025-06-15,1004464611.4232
2025-06-16,1010113842.615528
2025-06-17,1005108724.390849
2025-06-18,1012912940.10285
2025-06-19,1008975882.166812
2025-06-20,994002950.114202
2025-06-21,987391338.006012
2025-06-22,964713969.131071
2025-06-23,978295156.184294
2025-06-24,981725476.376831
2025-06-25,981437527.108673
2025-06-26,1001616395.304599
2025-06-27,1004230914.753956
2025-06-28,1011035294.492665
2025-06-29,1014731035.336189
2025-06-30,1024543216.270918
2025-07-01,1017319332.394995
2025-07-02,1030714275.54272
2025-07-03,1037638415.793971
2025-07-04,1039168821.051106
2025-07-05,1041150337.231433
2025-07-06,1059863035.204245
2025-07-07,1059344760.935674
2025-07-08,1066838177.218126
2025-07-09,1078182283.087069
2025-07-10,1079720116.455432
2025-07-11,1101820518.801806
2025-07-12,1103430057.633632
2025-07-13,1107120138.358816
2025-07-14,1105985362.910478
2025-07-15,1107236029.984787
2025-07-16,1131860880.235328
2025-07-17,1145006660.088665
2025-07-18,1142360992.975096
2025-07-19,1148635480.204858
2025-07-20,1163197127.749485
2025-07-21,1165907085.996572
2025-07-22,1140549891.40466
2025-07-23,1131680644.122442
2025-07-24,1137873267.080163
2025-07-25,1141324181.857576
2025-07-26,1143633548.589811
2025-07-27,1156279215.892064
2025-07-28,1148402849.064688
2025-07-29,1153726511.549671
2025-07-30,1160253607.00343
2025-07-31,1150319958.367941
2025-08-01,1132485533.739054
2025-08-02,1127165303.378614
2025-08-03,1134626384.556754
2025-08-04,1138679109.534005
2025-08-05,1133013561.563322
2025-08-06,1135696585.474398
2025-08-07,1136708871.076958
2025-08-08,1136908288.416519
2025-08-09,1126584878.1911
2025-08-10,1129965587.799639
2025-08-11,1130107494.608474
2025-08-12,1153107043.777477
2025-08-13,1186294792.398636
2025-08-14,1171443754.880907
2025-08-15,1140887461.795062
2025-08-16,1146535713.251276
2025-08-17,1158270291.879494
2025-08-18,1148964171.068594
2025-08-19,1144639353.437583
2025-08-20,1156515779.282983
2025-08-21,1147349765.358032
2025-08-22,1173321820.011231
2025-08-23,1168090312.803644
2025-08-24,1160946295.388623
2025-08-25,1139121793.841351
2025-08-26,1147074925.098627
2025-08-27,1145825660.134091
2025-08-28,1132523054.433852
2025-08-29,1101000966.663746
2025-08-30,1100329733.966676
2025-08-31,1101472895.588592
2025-09-01,1087428065.951158
